date_,cms_product_id,product_name,l0_category,l1_category,unit,city_name,blinkit_mrp,blinkit_sp,zeptosupersaver_mrp,zss_sp,zepto_mrp,zepto_sp,swiggy_mrp,swiggy_sp,blinkit_wlp,brand_fund_value,zeptosupersaver_competitive_status,zepto_competitive_status,swiggy_competitive_status,min_competitive_status,percentage_diff_vs_min,competitive_score_vs_min,latitude,longitude
2025-11-25,915400,Amul Butter,Dairy & Breakfast,Butter,500 g,chennai,188,181,180,161,180,161,206,201,0.0,0.0,expensive,competitive,expensive,competitive,9.24,0,13.0827,80.2707
2025-11-25,860431,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,chennai,178,141,170,163,170,163,189,184,0.0,0.0,expensive,competitive,expensive,competitive,10.21,2,13.0827,80.2707
2025-11-25,820997,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,pune,134,109,129,127,129,127,134,112,0.0,0.0,expensive,competitive,expensive,competitive,7.17,2,18.5204,73.8567
2025-11-25,127009,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,pune,408,389,403,385,403,385,428,415,0.0,0.0,expensive,expensive,competitive,competitive,0.25,3,18.5204,73.8567
2025-11-25,781039,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,pune,586,567,573,553,573,553,600,579,0.0,0.0,expensive,competitive,expensive,competitive,12.25,3,18.5204,73.8567
2025-11-25,429213,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,pune,67,51,63,50,63,50,67,60,0.0,0.0,expensive,expensive,expensive,expensive,11.86,3,18.5204,73.8567
2025-11-25,327344,Amul Butter,Dairy & Breakfast,Butter,500 g,pune,252,224,238,236,238,236,265,248,0.0,0.0,competitive,competitive,competitive,competitive,19.9,1,18.5204,73.8567
2025-11-25,729377,Basmati Rice Premium,Staples,Food Grains,5 kg,pune,55,44,38,24,38,24,58,38,0.0,0.0,competitive,expensive,expensive,competitive,6.47,0,18.5204,73.8567
2025-11-25,359677,Basmati Rice Premium,Staples,Food Grains,5 kg,pune,109,82,95,93,95,93,109,102,0.0,0.0,expensive,competitive,competitive,competitive,11.05,3,18.5204,73.8567
2025-11-25,234344,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,pune,587,574,572,560,572,560,587,578,0.0,0.0,competitive,expensive,expensive,competitive,13.13,0,18.5204,73.8567
2025-11-25,786922,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,pune,400,390,392,379,392,379,411,406,0.0,0.0,competitive,competitive,competitive,competitive,15.17,3,18.5204,73.8567
2025-11-25,458610,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,pune,314,281,299,296,299,296,330,309,0.0,0.0,competitive,expensive,competitive,competitive,14.02,2,18.5204,73.8567
2025-11-25,161508,Basmati Rice Premium,Staples,Food Grains,5 kg,jaipur,509,476,506,502,506,502,529,509,0.0,0.0,expensive,competitive,expensive,competitive,19.71,1,26.9124,75.7873
2025-11-25,638632,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,jaipur,517,515,505,495,505,495,533,527,0.0,0.0,expensive,expensive,competitive,competitive,0.79,2,26.9124,75.7873
2025-11-25,981031,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,jaipur,52,45,50,46,50,46,56,46,0.0,0.0,expensive,competitive,competitive,competitive,17.27,1,26.9124,75.7873
2025-11-25,755832,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,jaipur,155,133,141,137,141,137,168,157,0.0,0.0,expensive,expensive,expensive,expensive,9.87,1,26.9124,75.7873
2025-11-25,838945,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,jaipur,270,244,270,262,270,262,277,253,0.0,0.0,expensive,expensive,expensive,expensive,9.71,3,26.9124,75.7873
2025-11-25,682321,Surf Excel Easy Wash,Home Care,Detergents,1 kg,jaipur,532,507,515,495,515,495,550,534,0.0,0.0,expensive,competitive,competitive,competitive,17.58,2,26.9124,75.7873
2025-11-25,484855,Amul Butter,Dairy & Breakfast,Butter,500 g,jaipur,192,186,177,159,177,159,204,180,0.0,0.0,expensive,expensive,expensive,expensive,12.82,2,26.9124,75.7873
2025-11-25,288312,Amul Butter,Dairy & Breakfast,Butter,500 g,jaipur,500,498,498,481,498,481,510,491,0.0,0.0,competitive,competitive,competitive,competitive,18.21,3,26.9124,75.7873
2025-11-25,990181,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,jaipur,215,182,199,187,199,187,232,208,0.0,0.0,expensive,expensive,expensive,expensive,7.58,2,26.9124,75.7873
2025-11-25,978944,Surf Excel Easy Wash,Home Care,Detergents,1 kg,jaipur,99,81,81,66,81,66,114,109,0.0,0.0,expensive,expensive,competitive,competitive,15.3,1,26.9124,75.7873
2025-11-25,805806,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,lucknow,230,191,226,218,226,218,241,221,0.0,0.0,expensive,competitive,expensive,competitive,17.65,0,26.8467,80.9462
2025-11-25,799688,Surf Excel Easy Wash,Home Care,Detergents,1 kg,lucknow,364,362,352,341,352,341,379,362,0.0,0.0,expensive,expensive,competitive,competitive,8.25,3,26.8467,80.9462
2025-11-25,921049,Basmati Rice Premium,Staples,Food Grains,5 kg,lucknow,59,19,57,53,57,53,76,55,0.0,0.0,competitive,competitive,competitive,competitive,8.36,2,26.8467,80.9462
2025-11-25,859465,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,lucknow,85,78,84,74,84,74,94,79,0.0,0.0,expensive,competitive,expensive,competitive,16.2,1,26.8467,80.9462
2025-11-25,717902,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,lucknow,444,425,425,423,425,423,457,443,0.0,0.0,competitive,expensive,expensive,competitive,10.38,1,26.8467,80.9462
2025-11-25,106436,Basmati Rice Premium,Staples,Food Grains,5 kg,lucknow,465,457,464,446,464,446,466,460,0.0,0.0,expensive,expensive,competitive,competitive,1.86,2,26.8467,80.9462
2025-11-25,693144,Amul Butter,Dairy & Breakfast,Butter,500 g,lucknow,172,160,166,152,166,152,190,165,0.0,0.0,competitive,competitive,expensive,competitive,1.85,2,26.8467,80.9462
2025-11-25,387908,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,lucknow,586,555,569,557,569,557,605,600,0.0,0.0,competitive,expensive,expensive,competitive,9.5,2,26.8467,80.9462
2025-11-25,545839,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,lucknow,248,210,243,240,243,240,259,242,0.0,0.0,competitive,competitive,competitive,competitive,7.29,0,26.8467,80.9462
2025-11-25,518676,Basmati Rice Premium,Staples,Food Grains,5 kg,lucknow,520,499,519,507,519,507,536,518,0.0,0.0,competitive,competitive,competitive,competitive,10.94,0,26.8467,80.9462
2025-11-25,277880,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,hyderabad,115,113,115,95,115,95,131,111,0.0,0.0,competitive,expensive,competitive,competitive,14.17,2,17.385,78.4867
2025-11-25,176930,Surf Excel Easy Wash,Home Care,Detergents,1 kg,hyderabad,464,446,456,446,456,446,468,450,0.0,0.0,competitive,expensive,expensive,competitive,12.12,1,17.385,78.4867
2025-11-25,754118,Surf Excel Easy Wash,Home Care,Detergents,1 kg,hyderabad,417,397,398,389,398,389,432,412,0.0,0.0,expensive,expensive,expensive,expensive,17.48,3,17.385,78.4867
2025-11-25,865148,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,hyderabad,528,502,521,506,521,506,548,529,0.0,0.0,expensive,expensive,expensive,expensive,4.61,2,17.385,78.4867
2025-11-25,675912,Basmati Rice Premium,Staples,Food Grains,5 kg,hyderabad,435,405,427,408,427,408,454,440,0.0,0.0,expensive,expensive,competitive,competitive,3.95,2,17.385,78.4867
2025-11-25,464518,Surf Excel Easy Wash,Home Care,Detergents,1 kg,hyderabad,102,65,100,82,100,82,109,92,0.0,0.0,expensive,competitive,expensive,competitive,15.16,2,17.385,78.4867
2025-11-25,611209,Basmati Rice Premium,Staples,Food Grains,5 kg,hyderabad,43,30,34,32,34,32,63,43,0.0,0.0,competitive,competitive,competitive,competitive,16.7,2,17.385,78.4867
2025-11-25,558080,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,hyderabad,272,244,258,248,258,248,291,272,0.0,0.0,expensive,expensive,competitive,competitive,17.24,0,17.385,78.4867
2025-11-25,158012,Surf Excel Easy Wash,Home Care,Detergents,1 kg,hyderabad,227,202,207,191,207,191,230,219,0.0,0.0,expensive,expensive,competitive,competitive,18.29,2,17.385,78.4867
2025-11-25,625396,Basmati Rice Premium,Staples,Food Grains,5 kg,hyderabad,324,301,323,304,323,304,336,311,0.0,0.0,expensive,expensive,expensive,expensive,18.26,3,17.385,78.4867
2025-11-25,834683,Basmati Rice Premium,Staples,Food Grains,5 kg,ahmedabad,336,303,328,322,328,322,340,335,0.0,0.0,competitive,expensive,expensive,competitive,14.86,1,23.0225,72.5714
2025-11-25,858401,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,ahmedabad,521,483,509,509,509,509,535,524,0.0,0.0,expensive,expensive,competitive,competitive,0.64,1,23.0225,72.5714
2025-11-25,612711,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,ahmedabad,408,396,404,391,404,391,409,390,0.0,0.0,competitive,expensive,competitive,competitive,15.16,1,23.0225,72.5714
2025-11-25,852004,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,ahmedabad,428,426,425,421,425,421,447,435,0.0,0.0,expensive,expensive,competitive,competitive,9.64,1,23.0225,72.5714
2025-11-25,570566,Amul Butter,Dairy & Breakfast,Butter,500 g,ahmedabad,288,279,268,264,268,264,290,275,0.0,0.0,competitive,competitive,expensive,competitive,5.15,0,23.0225,72.5714
2025-11-25,508695,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,ahmedabad,472,454,455,453,455,453,483,462,0.0,0.0,competitive,competitive,expensive,competitive,17.24,2,23.0225,72.5714
2025-11-25,296064,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,ahmedabad,340,318,335,335,335,335,340,331,0.0,0.0,competitive,expensive,expensive,competitive,6.07,3,23.0225,72.5714
2025-11-25,783439,Basmati Rice Premium,Staples,Food Grains,5 kg,ahmedabad,250,222,246,228,246,228,251,239,0.0,0.0,expensive,competitive,expensive,competitive,1.82,0,23.0225,72.5714
2025-11-25,492547,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,ahmedabad,488,473,480,469,480,469,492,479,0.0,0.0,competitive,expensive,expensive,competitive,6.92,3,23.0225,72.5714
2025-11-25,757225,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,ahmedabad,325,302,311,303,311,303,327,314,0.0,0.0,competitive,expensive,competitive,competitive,19.35,0,23.0225,72.5714
2025-11-25,312734,Surf Excel Easy Wash,Home Care,Detergents,1 kg,chandigarh,420,408,416,401,416,401,422,417,0.0,0.0,expensive,competitive,competitive,competitive,16.08,0,30.7333,76.7794
2025-11-25,561701,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,chandigarh,534,525,517,498,517,498,538,531,0.0,0.0,competitive,competitive,competitive,competitive,7.99,0,30.7333,76.7794
2025-11-25,672218,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,chandigarh,385,354,373,361,373,361,396,377,0.0,0.0,expensive,expensive,expensive,expensive,0.27,1,30.7333,76.7794
2025-11-25,935692,Basmati Rice Premium,Staples,Food Grains,5 kg,chandigarh,418,385,402,399,402,399,428,407,0.0,0.0,expensive,competitive,expensive,competitive,8.03,3,30.7333,76.7794
2025-11-25,642294,Amul Butter,Dairy & Breakfast,Butter,500 g,chandigarh,117,109,106,92,106,92,128,103,0.0,0.0,competitive,competitive,expensive,competitive,12.73,0,30.7333,76.7794
2025-11-25,579803,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,chandigarh,571,540,563,561,563,561,578,560,0.0,0.0,competitive,expensive,competitive,competitive,14.77,2,30.7333,76.7794
2025-11-25,651944,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,chandigarh,252,247,247,227,247,227,263,245,0.0,0.0,expensive,competitive,expensive,competitive,18.04,1,30.7333,76.7794
2025-11-25,607894,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,chandigarh,580,547,572,562,572,562,600,576,0.0,0.0,expensive,expensive,competitive,competitive,11.73,2,30.7333,76.7794
2025-11-25,196829,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,chandigarh,403,384,396,383,396,383,418,409,0.0,0.0,competitive,expensive,competitive,competitive,16.58,3,30.7333,76.7794
2025-11-25,776536,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,chandigarh,467,453,465,465,465,465,469,455,0.0,0.0,competitive,competitive,competitive,competitive,6.28,0,30.7333,76.7794
2025-11-25,121251,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,delhi,42,33,33,32,33,32,56,50,0.0,0.0,competitive,competitive,expensive,competitive,16.58,1,28.6139,77.209
2025-11-25,885497,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,noida,514,495,495,489,495,489,520,515,0.0,0.0,expensive,competitive,expensive,competitive,14.18,1,28.5355,77.391
2025-11-25,778339,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,gurgaon,464,460,464,462,464,462,483,475,0.0,0.0,competitive,expensive,expensive,competitive,18.27,3,28.4595,77.0266
2025-11-25,370311,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,ghaziabad,527,516,514,497,514,497,542,536,0.0,0.0,expensive,expensive,competitive,competitive,18.11,2,28.6692,77.4538
2025-11-25,947421,Basmati Rice Premium,Staples,Food Grains,5 kg,faridabad,555,516,554,536,554,536,562,554,0.0,0.0,expensive,expensive,expensive,expensive,14.54,0,28.4089,77.3178
